               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.015514,            0.010942,           0.0024617,             0.95514,             0.95413,             0.96725,             0.80439,              0.0168,           0.0083846,           0.0041746,            0.006535,            0.006535,            0.006535
                  37,            0.015248,            0.010903,           0.0022602,             0.95944,             0.94949,              0.9639,             0.82848,            0.014636,           0.0085304,           0.0042331,            0.006436,            0.006436,            0.006436
                  38,            0.014867,            0.010731,           0.0028142,             0.97083,             0.94053,              0.9676,             0.82598,             0.01522,           0.0093684,           0.0041836,            0.006337,            0.006337,            0.006337
                  39,            0.015558,            0.010696,           0.0024662,              0.9567,              0.9587,              0.9668,             0.82589,            0.015015,           0.0095035,           0.0042509,            0.006238,            0.006238,            0.006238
                  40,             0.01498,            0.010512,           0.0020252,             0.95385,             0.96787,             0.96949,             0.83142,            0.015277,           0.0089658,           0.0039664,            0.006139,            0.006139,            0.006139
                  41,            0.014369,            0.010919,           0.0025605,             0.95636,             0.96786,             0.96935,             0.81963,            0.014785,           0.0087845,           0.0039592,             0.00604,             0.00604,             0.00604
                  42,            0.014706,             0.01024,           0.0023868,             0.95585,             0.96329,             0.96821,             0.82323,            0.014867,           0.0086584,           0.0040653,            0.005941,            0.005941,            0.005941
                  43,            0.014295,            0.010638,           0.0020113,             0.96203,             0.94949,             0.96347,             0.83009,            0.014136,           0.0088534,           0.0042148,            0.005842,            0.005842,            0.005842
                  44,            0.013894,           0.0099065,           0.0028935,             0.96222,             0.95409,             0.96713,             0.81618,             0.01653,           0.0092569,           0.0043043,            0.005743,            0.005743,            0.005743
                  45,            0.014533,            0.010304,           0.0024012,             0.95247,             0.95413,              0.9687,             0.82088,            0.016015,           0.0098685,            0.004417,            0.005644,            0.005644,            0.005644
                  46,            0.013872,           0.0099283,           0.0025055,             0.94916,             0.96323,             0.97037,             0.82688,            0.015302,           0.0090432,            0.004207,            0.005545,            0.005545,            0.005545
                  47,             0.01428,            0.010199,           0.0025426,             0.96651,             0.94954,             0.97079,             0.83366,            0.014753,           0.0091262,           0.0042592,            0.005446,            0.005446,            0.005446
                  48,            0.013723,            0.010301,           0.0019943,             0.96702,              0.9541,             0.97041,              0.8376,            0.014767,           0.0089424,           0.0045842,            0.005347,            0.005347,            0.005347
                  49,            0.013463,            0.010036,           0.0020806,             0.96291,             0.95788,             0.97049,              0.8276,             0.01561,           0.0095151,            0.004484,            0.005248,            0.005248,            0.005248
                  50,            0.012674,           0.0096577,           0.0021394,             0.95877,             0.95942,             0.96682,             0.81827,              0.0164,            0.009321,           0.0045342,            0.005149,            0.005149,            0.005149
                  51,            0.013102,            0.009743,            0.002209,             0.95755,             0.96782,              0.9711,             0.83286,             0.01511,           0.0089606,           0.0042156,             0.00505,             0.00505,             0.00505
                  52,            0.013134,           0.0098099,           0.0024355,             0.95134,             0.95413,             0.97097,             0.82605,            0.014663,           0.0089237,            0.004181,            0.004951,            0.004951,            0.004951
                  53,            0.012363,           0.0098384,           0.0023272,             0.95823,              0.9541,             0.96831,             0.82321,            0.015319,           0.0093374,           0.0042866,            0.004852,            0.004852,            0.004852
                  54,            0.012264,           0.0096946,           0.0022452,             0.95531,              0.9633,             0.97365,             0.83788,            0.014315,           0.0088698,           0.0044893,            0.004753,            0.004753,            0.004753
                  55,            0.012349,           0.0096775,           0.0022529,             0.96204,             0.95869,             0.97133,             0.83843,            0.013725,           0.0087657,           0.0042945,            0.004654,            0.004654,            0.004654
