               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024099,            0.018897,                   0,             0.58841,             0.56693,             0.51641,             0.32469,            0.029438,            0.020094,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024322,            0.018712,                   0,             0.52382,             0.59055,              0.4823,             0.31734,            0.028777,             0.01985,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023397,            0.017342,                   0,             0.53005,             0.61417,             0.47707,             0.31434,            0.026883,            0.019376,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.024032,            0.017593,                   0,             0.55865,             0.59843,             0.51996,             0.35477,            0.027075,            0.019281,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023781,            0.018397,                   0,               0.568,             0.59055,              0.5298,             0.36435,            0.027588,            0.018935,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023448,            0.017505,                   0,             0.55303,             0.65354,              0.5255,             0.35939,             0.02668,            0.018543,                   0,            0.005743,            0.005743,            0.005743
                  45,              0.0233,            0.018742,                   0,             0.48997,             0.70079,             0.55899,             0.37603,            0.025436,            0.018316,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.023832,            0.017658,                   0,             0.56086,             0.54305,             0.57087,             0.36374,            0.028497,             0.01962,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022492,            0.018054,                   0,             0.54596,             0.50394,             0.51413,             0.34838,            0.026981,            0.019188,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02345,            0.018206,                   0,              0.5199,             0.60541,             0.52187,             0.33605,            0.027758,            0.018726,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.021894,            0.017158,                   0,             0.60331,             0.55118,             0.52831,             0.34013,            0.026674,            0.019239,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022609,            0.018077,                   0,             0.48508,             0.66929,             0.53175,             0.35457,            0.026434,            0.019029,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021987,            0.016862,                   0,             0.50287,             0.66907,             0.52169,             0.34674,             0.02713,            0.019141,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020486,            0.016244,                   0,             0.57343,             0.58268,             0.55292,             0.36683,            0.027179,            0.019193,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020532,            0.016698,                   0,             0.50794,             0.59055,             0.51464,             0.34379,            0.026777,            0.019655,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020627,            0.016729,                   0,             0.50946,             0.61333,             0.50193,             0.34187,            0.026362,            0.019768,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02101,            0.017178,                   0,             0.50665,             0.59055,             0.52733,             0.36228,            0.026485,            0.019801,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020142,            0.016212,                   0,              0.6401,              0.5748,             0.57585,             0.41369,            0.027012,            0.018757,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02034,            0.017094,                   0,             0.56506,             0.61417,             0.57693,             0.39499,            0.025919,            0.019206,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.020359,            0.016389,                   0,             0.60943,             0.59055,             0.56335,             0.40556,            0.026728,            0.019767,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020184,            0.015158,                   0,             0.57966,             0.59722,             0.53625,             0.38012,            0.026323,            0.019952,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020745,            0.015838,                   0,             0.55385,              0.6063,             0.53678,              0.3775,            0.026039,            0.019766,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020907,            0.016687,                   0,             0.60336,             0.55098,             0.55669,             0.39619,            0.026539,              0.0198,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019627,            0.015801,                   0,             0.53469,             0.60621,             0.53562,             0.38706,            0.025936,            0.019618,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019244,            0.015093,                   0,              0.5547,              0.6378,             0.51645,              0.3574,            0.026509,             0.02017,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019537,            0.015322,                   0,              0.5214,             0.66142,             0.51249,              0.3539,            0.025389,            0.020503,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.019393,            0.015555,                   0,             0.60476,             0.59035,             0.56025,             0.39613,            0.025146,            0.020629,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018288,            0.014845,                   0,             0.55219,             0.62205,             0.55425,             0.39506,            0.025347,            0.020719,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01986,             0.01513,                   0,             0.61592,              0.6063,             0.56414,             0.40612,            0.025788,            0.020223,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01892,            0.015341,                   0,             0.58912,              0.6063,             0.55188,             0.39927,            0.025448,            0.020794,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019057,            0.015064,                   0,             0.55792,             0.56693,             0.53038,             0.38457,            0.025918,            0.021781,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018484,            0.015185,                   0,              0.5861,             0.53543,             0.52273,             0.37331,            0.025849,            0.021192,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018547,            0.014566,                   0,             0.59193,             0.58268,             0.52962,             0.37358,            0.025386,            0.020813,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.017758,            0.014486,                   0,             0.57134,             0.53543,             0.50852,              0.3589,            0.024107,            0.021309,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016807,             0.01442,                   0,             0.54848,              0.5748,             0.53099,             0.38293,            0.024616,            0.021003,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.017955,            0.013791,                   0,             0.63703,              0.5666,              0.5694,             0.41727,            0.024562,            0.020263,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018201,            0.014913,                   0,             0.65751,             0.57444,             0.57678,              0.4195,            0.025222,            0.020287,                   0,            0.002674,            0.002674,            0.002674
