               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024593,            0.005993,                   0,             0.90208,             0.83237,             0.87539,             0.57392,             0.02741,           0.0062827,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024441,            0.005738,                   0,             0.91197,             0.82979,             0.87226,              0.5626,            0.026814,           0.0063214,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023564,           0.0058645,                   0,             0.91077,             0.82944,             0.87303,              0.5785,            0.026697,           0.0064468,                   0,            0.006139,            0.006139,            0.006139
                  41,              0.0231,           0.0059654,                   0,             0.90763,              0.8222,             0.86551,             0.57582,            0.027543,           0.0067018,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02391,           0.0060927,                   0,             0.92201,             0.81534,             0.86595,              0.5756,            0.027521,           0.0063362,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023096,           0.0057163,                   0,             0.91963,             0.81237,             0.86729,             0.59143,            0.026807,           0.0063777,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022499,            0.005755,                   0,             0.89305,             0.84685,             0.87856,             0.58799,            0.027178,           0.0062248,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022803,           0.0054784,                   0,             0.88468,             0.84451,             0.87604,             0.57401,            0.026613,            0.006568,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022557,           0.0058341,                   0,             0.90797,             0.82047,             0.86253,             0.58653,            0.026913,           0.0066675,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022062,           0.0054989,                   0,             0.92652,             0.79939,             0.86153,             0.57744,            0.026988,            0.006981,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022346,           0.0054626,                   0,             0.91314,             0.81276,             0.87238,             0.57397,            0.026857,           0.0064013,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02112,           0.0055671,                   0,             0.91192,             0.82299,             0.87649,             0.58902,             0.02644,           0.0064985,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.021636,           0.0053916,                   0,             0.90555,             0.82817,             0.87427,             0.58664,            0.026731,           0.0064086,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021728,           0.0054878,                   0,             0.90325,             0.82724,             0.87499,             0.57987,            0.026859,           0.0064517,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020646,           0.0055705,                   0,             0.92615,             0.80527,             0.87225,             0.57549,            0.027172,           0.0064652,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020524,           0.0055075,                   0,             0.92441,             0.80781,              0.8743,             0.59166,            0.026413,           0.0066802,                   0,            0.004852,            0.004852,            0.004852
